,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year, price_amount ,price_currency_code
48783,,,,,,,,,,,,,,,,,,,,,,
36566,,,,,,,,,,,,,,,,,,,,,,
53876,,,,,,,,,,,,,,,,,,,,,,
30958,,,,,,,,,,,,,,,,,,,,,,
25314,,,,,,,,,,,,,,,,,,,,,,
26014,,,,,,,,,,,,,,,,,,,,,,
12259,/organization/vertabase,Vertabase,|Collaboration|SaaS|Project Management|Software|,Software,USA,MI,Detroit,Southfield,/organization/standpipe-studios,Standpipe Studios,|Public Relations|,Public Relations,USA,MI,Detroit,Southfield,1999-01-01,1999-01,1999-Q1,1999.0,,USD
29703,,,,,,,,,,,,,,,,,,,,,,
8221,/organization/onelouder,OneLouder,|Facebook Applications|Twitter Applications|iPad|iPhone|iOS|Search|Android|Consumer Electronics|Advertising|Apps|Social Media|Mobile|,Mobile,USA,MO,Kansas City,Kansas City,/organization/sprint-nextel,Sprint Nextel,|Wireless|Mobile|,Mobile,USA,KS,Kansas City,Overland Park,2013-05-20,2013-05,2013-Q2,2013.0,,USD
11367,/organization/textic,Textic,|Mobile|Software|,Mobile,GBR,,London,Maidenhead,/organization/rok-talk,Rok Talk,,,GBR,,Wolverhampton,Wolverhampton,2009-11-11,2009-11,2009-Q4,2009.0,,USD
46526,,,,,,,,,,,,,,,,,,,,,,
34767,,,,,,,,,,,,,,,,,,,,,,
8332,/organization/optisolar,OptiSolar R&D,|Manufacturing|Solar|Clean Technology|,Clean Technology,USA,CA,SF Bay Area,Hayward,/organization/epod-solar,ePod Solar,|Solar|Clean Technology|,Clean Technology,CAN,BC,Kelowna,Kelowna,2009-07-21,2009-07,2009-Q3,2009.0," 260,000,000 ",USD
49442,,,,,,,,,,,,,,,,,,,,,,
49838,,,,,,,,,,,,,,,,,,,,,,
14872,,,,,,,,,,,,,,,,,,,,,,
15551,,,,,,,,,,,,,,,,,,,,,,
47190,,,,,,,,,,,,,,,,,,,,,,
