,permalink,name,homepage_url,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
47365,/organization/westhouse,Westhouse,http://www.xishanju.com,|Software|, Software ," 20,000,000 ",operating,CHN,,CHN - Other,,1.0,,,,,2014-02-16,2014-02-16
26179,/organization/meme-apps,Meme Apps,http://www.memeapps.com,|Android|iOS|Web Development|Apps|Mobile|Software|, Android ," 2,433,171 ",operating,,,,,1.0,2011-01-01,2011-01,2011-Q1,2011.0,2010-01-01,2010-01-01
22946,/organization/klab,KLab,http://klab.com,|Games|, Games ," 9,300,000 ",operating,SGP,,Singapore,Singapore,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2013-07-19,2013-07-19
47901,/organization/workboard,Workboard,http://www.workboard.com,|Collaboration|Business Productivity|Project Management|Software|, Business Productivity ," 2,750,000 ",operating,USA,CA,SF Bay Area,Redwood City,1.0,2013-01-01,2013-01,2013-Q1,2013.0,2014-02-25,2014-02-25
50889,,,,,,,,,,,,,,,,,,
3060,/organization/arabia-weather,Arabia Weather,http://www.arabiaweather.com/,,, -   ,operating,,,,,1.0,,,,,2012-08-27,2012-08-27
907,/organization/actv8,ACTV8me,http://actv8me.com,|Telecommunications|Web Hosting|, Telecommunications ," 11,879,704 ",operating,USA,CA,Los Angeles,Beverly Hills,4.0,2011-01-01,2011-01,2011-Q1,2011.0,2011-06-17,2012-09-28
8600,/organization/clear-image-technology,Clear Image Technology,http://www.clearimg.com,|Biotechnology|, Biotechnology ," 500,000 ",operating,USA,OH,Cleveland,Elyria,1.0,2002-01-01,2002-01,2002-Q1,2002.0,2012-08-20,2012-08-20
22065,/organization/job1001,Job1001,http://www.job1001.com,|Social Network Media|, Social Network Media ," 641,736 ",operating,CHN,,Shenzhen,Shenzhen,1.0,2006-01-01,2006-01,2006-Q1,2006.0,2011-12-01,2011-12-01
24927,/organization/luristic,Luristic,http://www.Luristic.com,|Web Tools|Information Services|Usability|User Experience Design|Web Development|Software|, Information Services ," 500,000 ",closed,USA,CA,Anaheim,Irvine,1.0,2009-01-13,2009-01,2009-Q1,2009.0,2009-01-13,2009-01-13
32358,/organization/pilgrim-software,Pilgrim Software,http://www.pilgrimsoftware.com,|Software|, Software , -   ,operating,USA,FL,Tampa,Tampa,1.0,,,,,2011-02-23,2011-02-23
32948,/organization/pollen-2,Pollen - Social Platform,http://www.pollen.co,|Social Media|, Social Media ," 1,000,000 ",operating,GBR,,London,London,2.0,2013-08-01,2013-08,2013-Q3,2013.0,2013-10-15,2014-05-22
48691,/organization/younite,YOUnite,http://www.youniteinc.com,|Software|, Software ," 1,300,000 ",operating,USA,CA,SF Bay Area,Mountain View,1.0,2006-01-01,2006-01,2006-Q1,2006.0,2006-01-01,2006-01-01
49582,,,,,,,,,,,,,,,,,,
4015,/organization/avitide,Avitide,http://avitide.com,|Biotechnology|, Biotechnology ," 3,435,003 ",operating,USA,NH,"Manchester, New Hampshire",Lebanon,1.0,2012-01-01,2012-01,2012-Q1,2012.0,2014-06-09,2014-06-09
52343,,,,,,,,,,,,,,,,,,
