,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_list,investor_market,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
103597,/organization/mallzee-com,Mallzee.com,|Advertising|Sales and Marketing|Mobile|Social Commerce|E-Commerce|Fashion|,E-Commerce,GBR,,Edinburgh,Edinburgh,/organization/kenny-fraser,Kenny Fraser,,,,,,,/funding-round/c97556d56015057927c679a3082aff0e,seed,,2014-05-22,2014-05,2014-Q2,2014," 843,412 "
50365,/organization/blue-cod-technologies,Blue Cod Technologies,|Software|,Software,USA,MA,Boston,Marlborough,/organization/edison-ventures,Edison Partners,|Venture Capital|,Venture Capital,USA,NJ,NJ - Other,Lawrenceville,/funding-round/d25ab6fc3fbf963c70384b279fc1739c,venture,,2011-07-05,2011-07,2011-Q3,2011," 3,000,000 "
6597,/organization/vivonet,Vivonet,|Point of Sale|SaaS|Technology|Software|,Point of Sale,CAN,BC,Burnaby,Burnaby,/organization/discovery-capital,Discovery Capital,,,CAN,BC,Vancouver,Vancouver,/funding-round/56c23f5f66498eaca93adc0138b6e244,venture,,2005-11-30,2005-11,2005-Q4,2005," 2,050,000 "
33984,/organization/skybox-security,Skybox Security,|Network Security|Security|,Network Security,USA,CA,SF Bay Area,San Jose,/organization/benchmark,Benchmark,|Finance|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,San Francisco,/funding-round/e71adc01873581c9bd0bace3c40a1709,venture,D,2009-12-28,2009-12,2009-Q4,2009," 2,000,000 "
7797,/organization/mysql,MySQL,|Lighting|Open Source|Databases|Enterprise Software|,Databases,USA,CA,SF Bay Area,Cupertino,/organization/sap-ventures,Sapphire Ventures,|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Palo Alto,/funding-round/bba7c73c281022af7b9a9fe20596472b,venture,C,2006-02-01,2006-02,2006-Q1,2006," 18,500,000 "
69798,/organization/libboo,Libboo,|Finance|Writers|Publishing|Curated Web|,Finance,USA,MA,Boston,Boston,/person/dharmesh-shah,Dharmesh Shah,,,,,,,/funding-round/7f671731c088fdb2588bb670c9b969b4,seed,,2012-10-03,2012-10,2012-Q4,2012," 1,100,000 "
112450,/organization/mid-labs,MID Labs,|Health Care|Medical Devices|Medical|,Medical,USA,CA,SF Bay Area,San Leandro,/organization/frontline-bioventures,Frontline BioVentures,,,CHN,,Shanghai,Shanghai,/funding-round/2d1ea2f2117edb1da7d6449a4daa4e80,venture,,2014-10-16,2014-10,2014-Q4,2014," 51,000,000 "
113645,/organization/lockbox-2,Lockbox,|Consumers|,Consumers,DEU,,Berlin,Berlin,/organization/high-tech-gruenderfonds,High-Tech Gruenderfonds,,,DEU,,Bonn,Bonn,/funding-round/8acf88f6d23c1ff0344624533307d698,seed,,2014-11-11,2014-11,2014-Q4,2014,
20865,/organization/kindo-network,Kindo Network,|Web Hosting|,Web Hosting,GBR,,London,London,/organization/ambient-sound-investments,Ambient Sound Investments,,,EST,,Tallinn,Tallinn,/funding-round/4d7c5834f7755d3b03d036c8f207817d,seed,,2008-02-07,2008-02,2008-Q1,2008,
79892,/organization/bvi-networks,RetailNext,|Retail|Analytics|,Analytics,USA,CA,SF Bay Area,San Jose,/organization/nokia-growth-partners,Nokia Growth Partners,|Mobile Games|Mobile|Big Data Analytics|Advertising|Automotive|Mobile Enterprise|Local Commerce|,Mobile,USA,CA,SF Bay Area,Sunnyvale,/funding-round/67e0a9df98b8cd6a2c7bf6d28f5cb740,venture,C,2013-04-30,2013-04,2013-Q2,2013," 15,000,000 "
20806,/organization/liquid-machines,Liquid Machines,|Enterprise Software|,Enterprise Software,USA,MA,Boston,Waltham,/organization/draper-fisher-jurvetson,Draper Fisher Jurvetson (DFJ),|Venture Capital|,Venture Capital,USA,CA,SF Bay Area,Menlo Park,/funding-round/642f568c70dd964055d02da5df2d1742,venture,D,2008-02-04,2008-02,2008-Q1,2008," 10,000,000 "
12910,/organization/kankan,Xunlei,|Web Tools|Software|,Web Tools,CHN,,Shenzhen,Shenzhen,/organization/idg-capital-partners,IDG Capital Partners,|Venture Capital|Finance|,Finance,CHN,,Beijing,Beijing,/funding-round/1340031fa9bf2031336bf8a58a6a9dbd,venture,C,2007-01-01,2007-01,2007-Q1,2007,
8625,/organization/jingle-networks,Jingle Networks,|Advertising|Mobile|,Advertising,USA,NY,New York City,New York,/organization/liberty-associated-partners,Liberty Associated Partners,,,USA,PA,Philadelphia,Bala Cynwyd,/funding-round/ce95f9f033567175820b0e876e273c6c,venture,B,2006-04-01,2006-04,2006-Q2,2006," 26,000,000 "
87235,/organization/clinkle,Clinkle,|Payments|Finance|,Payments,USA,CA,SF Bay Area,San Francisco,/person/richard-branson,Richard Branson,,,,,,,/funding-round/9302b4035c683d5eb6d90283464cc477,seed,,2013-09-01,2013-09,2013-Q3,2013," 5,000,000 "
20900,/organization/lookery,Lookery,|Advertising|,Advertising,USA,CA,SF Bay Area,San Francisco,/person/robin-klein,Robin Klein,,,,,,,/funding-round/b5c3e8efeb18be7649c9a638d7133092,seed,,2008-02-07,2008-02,2008-Q1,2008," 900,000 "
27600,/organization/novaled,Novaled,|Clean Technology|,Clean Technology,DEU,,Dresden,Dresden,/organization/tudag,TUDAG,,,DEU,,Dresden,Dresden,/funding-round/b801c9e857da448072ddb62faa4b951d,venture,C,2009-01-17,2009-01,2009-Q1,2009," 14,849,130 "
