,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,funded_month, funded_quarter ,funded_year, raised_amount_usd ,Unnamed: 16
18365,/organization/cubicle,Cubicle,|Consulting|,Consulting,IND,,Mumbai,Mumbai,/funding-round/a89c957c2691d2ed2af123fce2f4102a,seed,,2013-12-16,2013-12, 2013-Q4 ,2013.0," 40,000 ",
58276,/organization/quantine,Quantine,,,SGP,,Singapore,Singapore,/funding-round/fefa0e2ac7e84b2b975e395765cd1180,seed,,2013-02-01,2013-02, 2013-Q1 ,2013.0," 500,000 ",
12795,/organization/carmichael-co-usa,Carmichael & Co. USA,|Sports|,Sports,USA,VA,VA - Other,Orange,/funding-round/4b636a4cc971284563d85d44d683c696,equity_crowdfunding,,2014-03-06,2014-03, 2014-Q1 ,2014.0," 11,000 ",
16640,/organization/conduitlabs,Conduit Labs,|Music|Software|MMO Games|Social Games|Games|,Music,USA,MA,Boston,Cambridge,/funding-round/f6280a6284ca13d10634db59188df752,venture,B,2009-09-15,2009-09, 2009-Q3 ,2009.0," 3,000,000 ",
54071,/organization/perceptive-pixel,Perceptive Pixel,|Security|,Security,USA,NY,New York City,New York,/funding-round/c7deff2c1c63bb8f7f64a0475d3189ee,debt_financing,,2009-03-31,2009-03, 2009-Q1 ,2009.0," 250,000 ",
38396,/organization/keystone-mobile-partner,Keystone Mobile Partner,|Health and Wellness|,Health and Wellness,USA,PA,PA - Other,Willow Grove,/funding-round/09a6a670a7f3d01ffcd64fe99de7179a,venture,,2009-10-05,2009-10, 2009-Q4 ,2009.0," 3,005,470 ",
59476,/organization/recommind,Recommind,|Enterprise Software|,Enterprise Software,USA,CA,SF Bay Area,San Francisco,/funding-round/1baad4dfc942c97911b55550e8dcf319,venture,A,2008-10-07,2008-10, 2008-Q4 ,2008.0,,
2069,/organization/adspired-technologies,Adspired Technologies,|Technology|Software|Analytics|E-Commerce|,Technology,,,,,/funding-round/920a28018e87f622d51d87c1e86afd8a,seed,,2014-09-15,2014-09, 2014-Q3 ,2014.0,,
42810,/organization/mall-street,Mall Street,,,RUS,,Moscow,Moscow,/funding-round/b282b768f954e85d7e3954adc8659a99,venture,A,2012-06-20,2012-06, 2012-Q2 ,2012.0," 1,000,000 ",
47364,/organization/myevetab,MyEveTab,|Mobile|,Mobile,CAN,ON,Toronto,Toronto,/funding-round/85040008937e219b46759856c1a2c151,seed,,2014-09-24,2014-09, 2014-Q3 ,2014.0," 150,000 ",
40013,/organization/leap-commerce,Leap Commerce,|Shopping|Mobile|,Mobile,USA,CA,SF Bay Area,San Francisco,/funding-round/2bf048890f896c93b4de735da1660a82,debt_financing,,2013-09-23,2013-09, 2013-Q3 ,2013.0," 1,841,902 ",
40142,/organization/legalreach,LegalReach,|Legal|,Legal,USA,CA,SF Bay Area,San Francisco,/funding-round/10a23ecec575a72733ddf7da48cb4e1c,seed,,2013-08-05,2013-08, 2013-Q3 ,2013.0," 900,000 ",
56650,/organization/pricing-engine,Pricing Engine,|Subscription Businesses|Network Security|Freemium|Analytics|Big Data|SaaS|SEO|Digital Media|Advertising|,Advertising,USA,NY,New York City,New York,/funding-round/a03a868b6a8101a5e16fbf6ba9eea71a,seed,,2013-03-27,2013-03, 2013-Q1 ,2013.0," 1,000,000 ",
46579,/organization/moremagic-solutions,MoreMagic Solutions,|Finance|,Finance,USA,MA,Boston,Newton,/funding-round/7d35e3c1f2084af5a9cba3144514b76a,venture,D,2005-06-29,2005-06, 2005-Q2 ,2005.0," 4,125,000 ",
75433,/organization/tryolabs,Tryolabs,|Machine Learning|Natural Language Processing|Artificial Intelligence|Web Tools|Software|,Software,URY,,Montevideo,Montevideo,/funding-round/bcc32e1aa1657d8c3cedab7294639203,angel,,2012-11-01,2012-11, 2012-Q4 ,2012.0,,
21037,/organization/doremir-music-research,Doremir Music Research,|Music|,Music,SWE,,Stockholm,Stockholm,/funding-round/a8d165c1af7dd25bd48153d0e7cb1535,seed,,2013-12-04,2013-12, 2013-Q4 ,2013.0," 1,000,000 ",
16579,/organization/concealium-software,Concealium Software,|Security|,Security,,,,,/funding-round/909a131a8ecb833bfc9afa7eed88649b,seed,,2009-05-27,2009-05, 2009-Q2 ,2009.0," 500,000 ",
41926,/organization/lovelive-tv,LoveLive.TV,|News|,News,GBR,,London,London,/funding-round/c11bbf3594a196c5a94b388119d0c4bd,seed,,2013-09-26,2013-09, 2013-Q3 ,2013.0," 2,700,000 ",
62882,/organization/scour-prevention,Scour Prevention,|Manufacturing|,Manufacturing,GBR,,GBR - Other,Lowestoft,/funding-round/bd7688de77891fa784a36a513035f43e,undisclosed,,2011-08-05,2011-08, 2011-Q3 ,2011.0," 570,076 ",
9228,/organization/bioserie,Bioserie,|Toys|,Toys,HKG,,Hong Kong,Hong Kong,/funding-round/202cf002e7587e8142d8ede6bd529722,seed,,2009-12-01,2009-12, 2009-Q4 ,2009.0," 100,000 ",
39373,/organization/kumu-networks,Kumu Networks,|Mobile|,Mobile,USA,CA,SF Bay Area,Santa Clara,/funding-round/d5de3af5a98bf8988088284a9d9f6b38,venture,A,2012-09-24,2012-09, 2012-Q3 ,2012.0," 5,425,630 ",
1679,/organization/adaptive-symbiotic-technologies,Adaptive Symbiotic Technologies,|Biotechnology|,Biotechnology,USA,WA,Seattle,Seattle,/funding-round/d64896c23e3084fe9262625e839a68d0,venture,,2014-08-28,2014-08, 2014-Q3 ,2014.0," 1,099,000 ",
6383,/organization/attractive-black-singles-llc,Attractive Black Singles LLC,|Media|,Media,USA,NC,Greensboro,Greensboro,/funding-round/231691541eddf75cf54d13a88370dd59,equity_crowdfunding,,2012-07-14,2012-07, 2012-Q3 ,2012.0,,
6850,/organization/avanti-mining,Avanti Mining,,,CAN,BC,Vancouver,Vancouver,/funding-round/f5f1f6f20fe9ce3c239840899d37d343,debt_financing,,2013-12-23,2013-12, 2013-Q4 ,2013.0," 50,000,000 ",
65248,/organization/silverside-detectors-inc,Silverside Detectors Inc.,|Politics|,Politics,USA,MA,Boston,Boston,/funding-round/7c9142a966d15dd9914aedc90a374619,seed,,2014-01-01,2014-01, 2014-Q1 ,2014.0," 75,000 ",
49997,/organization/novast,Novast,|Health Care|,Health Care,CHN,,CHN - Other,Nantong,/funding-round/227dab77fcc610c104cbec31b3d47ba1,venture,C,2012-06-01,2012-06, 2012-Q2 ,2012.0," 20,000,000 ",
61359,/organization/synaffix-2,Rodenburg Biopolymers,|Biotechnology|,Biotechnology,NLD,,NLD - Other,Oosterhout,/funding-round/59ae0d3dee0d2943d580c3655d79e783,private_equity,,2013-08-29,2013-08, 2013-Q3 ,2013.0,,
27462,/organization/frensenius-vascular-care,Frensenius Vascular Care,|Health and Wellness|,Health and Wellness,USA,PA,Philadelphia,Berwyn,/funding-round/531f4d346a12b8a80f6faccef2356189,venture,,2013-07-14,2013-07, 2013-Q3 ,2013.0," 311,277 ",
70445,/organization/swipestation,SwipeStation,|Advertising|,Advertising,GBR,,GBR - Other,Kings Langley,/funding-round/1d9d1f9caecec0cab6cd368b398274ea,angel,,2014-07-25,2014-07, 2014-Q3 ,2014.0," 510,364 ",
67443,/organization/sonian,Sonian,|Cloud Computing|SaaS|Archiving|Email|E-Commerce|Enterprise Software|,E-Commerce,USA,MA,Boston,Dedham,/funding-round/891c2c2b48154854059bde5cbfe0178d,venture,B,2010-12-08,2010-12, 2010-Q4 ,2010.0," 9,000,000 ",
18834,/organization/cytovance-biologics,Cytovance Biologics,|Biotechnology|,Biotechnology,USA,OK,Oklahoma City,Oklahoma City,/funding-round/eab71a0ab229bc2ef532373c29deb4bd,venture,,2011-03-15,2011-03, 2011-Q1 ,2011.0," 22,500,000 ",
9728,/organization/blip,Blip,|Advertising|Web Hosting|Television|Video Streaming|Video|Games|,Web Hosting,USA,NY,New York City,New York,/funding-round/73cdf6e808e2f69e284ff1dd8be32675,venture,C,2010-05-19,2010-05, 2010-Q2 ,2010.0," 10,100,000 ",
18047,/organization/crowdability,Crowdability,|Information Services|,Information Services,USA,NY,New York City,New York,/funding-round/c540e3604d02184c6a3ddf991311dca9,seed,,2014-06-11,2014-06, 2014-Q2 ,2014.0," 1,000,000 ",
68186,/organization/spinnote,SpinNote,|Software|,Software,KOR,,Seoul,Seoul,/funding-round/3a84fc07f8c46ee64621ce69805422d5,undisclosed,,2013-02-27,2013-02, 2013-Q1 ,2013.0," 184,029 ",
55889,/organization/polyspot,PolySpot,|Big Data|Enterprise Search|Search|Enterprise Software|,Big Data,FRA,,Paris,Paris,/funding-round/6f2cff59d89b827d5e8a8cba8bfd9d73,seed,,2011-08-05,2011-08, 2011-Q3 ,2011.0," 3,400,000 ",
31249,/organization/handybook,Handy,|Home & Garden|Services|Apps|,Services,USA,NY,New York City,New York,/funding-round/93447dd276290b20627a00d8de48a031,venture,,2014-01-28,2014-01, 2014-Q1 ,2014.0," 3,728,926 ",
24410,/organization/evermind,Evermind,|Health Care|Hardware + Software|,Health Care,USA,TN,Nashville,Nashville,/funding-round/25f5cf40bd547a0f3357d787a352e558,venture,A,2014-09-01,2014-09, 2014-Q3 ,2014.0," 740,000 ",
42733,/organization/makad-energy,Makad Energy,,,USA,WA,Seattle,Vancouver,/funding-round/cc37af061eda9fb1f5298d942bcb6a10,venture,,2014-03-14,2014-03, 2014-Q1 ,2014.0," 52,500 ",
81449,/organization/writereader-aps,WriteReader ApS,|iPhone|iPad|Education|,iPhone,,,,,/funding-round/f2d36bf562489abc929f7a68e89f4985,seed,,2013-10-10,2013-10, 2013-Q4 ,2013.0," 60,000 ",
58563,/organization/quizrr,Quizrr,|Software|,Software,USA,MO,St. Louis,St Louis,/funding-round/ada593374f32ff1eda8c471bc6a5d025,seed,,2013-04-10,2013-04, 2013-Q2 ,2013.0," 150,000 ",
80203,/organization/welink,WeLink,|Social Media Platforms|Social + Mobile + Local|Social Media Management|Social Media Marketing|Social Media Monitoring|,Social Media Management,USA,CA,SF Bay Area,San Jose,/funding-round/0ebc04f924925f7e105004f169e92f10,seed,,2012-06-29,2012-06, 2012-Q2 ,2012.0," 20,000 ",
21200,/organization/draftstreet,Draftstreet,|Fantasy Sports|Sports|,Fantasy Sports,USA,NY,New York City,New York,/funding-round/fb565ccc3a8bda6f3b7025561114bc4b,seed,,2010-05-01,2010-05, 2010-Q2 ,2010.0," 452,000 ",
82536,/organization/youku,Youku,|Technology|Photography|,Technology,CHN,,Shanghai,Shanghai,/funding-round/aa382926690dc694ee6155f41966a564,post_ipo_equity,,2014-04-28,2014-04, 2014-Q2 ,2014.0," 1,200,000,000 ",
7647,/organization/band-metrics,Band Metrics,|Technology|Reputation|Big Data Analytics|Machine Learning|Natural Language Processing|Opinions|Music|,Machine Learning,USA,GA,Atlanta,Atlanta,/funding-round/c4df55f4ee49c0a70dc8a4d0ad79deb3,angel,,2008-11-24,2008-11, 2008-Q4 ,2008.0,,
76535,/organization/unsilo,Unsilo,|Natural Language Processing|Search|,Search,DNK,,Aarhus,Aarhus,/funding-round/0b157b55a8b9e457713feaf800f689f8,seed,,2012-06-01,2012-06, 2012-Q2 ,2012.0,,
15148,/organization/clickable,Clickable,|Search|Semantic Search|Advertising|,Search,USA,NY,New York City,New York,/funding-round/e71e8353ad0d990efaf4ddc36b21bcd9,angel,,2006-01-01,2006-01, 2006-Q1 ,2006.0,,
52519,/organization/oversee,Oversee,|Lead Generation|Advertising|,Lead Generation,USA,CA,Los Angeles,Los Angeles,/funding-round/5ed71066d7a53c4dbc88b0dda4262cfa,debt_financing,,2007-01-01,2007-01, 2007-Q1 ,2007.0," 60,000,000 ",
